                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76795,                0.81286,                 1.2019,                0.80506,                0.73488,                0.79174,                0.57636,                0.95202,                 1.0473,                 1.3503,               0.007756,               0.007756,               0.007756
                     36,                0.75722,                 0.8142,                 1.2103,                0.82717,                0.73023,                0.79265,                0.56665,                0.99568,                 1.1037,                 1.3809,                0.00769,                0.00769,                0.00769
                     37,                0.72464,                0.75878,                 1.1714,                0.86943,                0.63721,                0.75749,                0.52092,                 1.0986,                 1.2298,                  1.493,               0.007624,               0.007624,               0.007624
                     38,                0.72761,                0.77349,                 1.1711,                 0.8292,                0.68837,                 0.7734,                0.55576,                 1.0069,                  1.113,                 1.3939,               0.007558,               0.007558,               0.007558
                     39,                0.71198,                0.74477,                 1.1723,                0.79303,                0.74851,                0.75178,                0.53223,                0.97956,                 1.1404,                 1.3487,               0.007492,               0.007492,               0.007492
                     40,                0.73621,                0.75674,                 1.1821,                0.82386,                0.67441,                0.72402,                0.50932,                 1.1251,                 1.1944,                 1.5309,               0.007426,               0.007426,               0.007426
                     41,                0.69339,                 0.7426,                  1.143,                0.81386,                0.71163,                0.77665,                0.56742,                0.96234,                 1.0094,                 1.3417,                0.00736,                0.00736,                0.00736
                     42,                 0.7045,                0.70557,                 1.1523,                0.84196,                0.71628,                0.79103,                 0.5697,                0.99453,                 1.0073,                 1.3928,               0.007294,               0.007294,               0.007294
                     43,                0.70129,                0.72336,                 1.1522,                0.82878,                0.72044,                0.78891,                 0.5878,                0.96279,                0.99101,                 1.3904,               0.007228,               0.007228,               0.007228
                     44,                0.70709,                0.71948,                 1.1559,                0.89621,                0.68279,                0.79149,                0.57903,                0.91118,                 1.0263,                  1.315,               0.007162,               0.007162,               0.007162
                     45,                0.69259,                0.71203,                 1.1559,                0.83087,                0.73953,                0.79501,                0.60356,                0.88115,                 1.0028,                 1.2705,               0.007096,               0.007096,               0.007096
                     46,                0.68391,                0.68593,                 1.1404,                0.82863,                0.74419,                0.80813,                0.58428,                0.92742,                0.98867,                 1.3186,                0.00703,                0.00703,                0.00703
                     47,                0.67051,                0.66364,                 1.1211,                0.88174,                0.69767,                0.79095,                0.57361,                0.94625,                0.95933,                 1.3458,               0.006964,               0.006964,               0.006964
                     48,                0.67339,                0.66866,                 1.1236,                 0.9068,                0.67907,                0.79198,                0.58348,                0.95697,                0.90911,                  1.367,               0.006898,               0.006898,               0.006898
                     49,                0.67036,                0.68781,                 1.1193,                0.80708,                0.68104,                0.73477,                 0.5289,                 0.9952,                 1.0988,                 1.4328,               0.006832,               0.006832,               0.006832
                     50,                0.66166,                  0.668,                 1.1175,                0.82557,                0.72647,                0.79145,                0.57445,                0.97627,                0.97488,                 1.4138,               0.006766,               0.006766,               0.006766
                     51,                0.66948,                0.65303,                 1.1132,                0.87869,                0.70747,                 0.8147,                0.58465,                0.99807,                0.94363,                 1.4304,                 0.0067,                 0.0067,                 0.0067
                     52,                0.66508,                0.67704,                 1.1277,                 0.8512,                0.66047,                0.74993,                 0.5267,                  1.058,                 1.1075,                 1.5299,               0.006634,               0.006634,               0.006634
                     53,                0.65187,                0.65041,                 1.1091,                 0.8403,                0.72093,                0.80812,                0.58021,                0.93617,                0.99623,                  1.345,               0.006568,               0.006568,               0.006568
                     54,                0.64111,                0.64845,                 1.1025,                0.89137,                0.67442,                 0.8032,                0.58478,                0.98404,                0.91675,                  1.417,               0.006502,               0.006502,               0.006502
                     55,                0.66245,                0.66775,                 1.1213,                0.88358,                0.70603,                0.79309,                0.58349,                0.99966,                0.99022,                 1.4058,               0.006436,               0.006436,               0.006436
                     56,                0.64891,                0.63244,                 1.1206,                0.90711,                0.68372,                0.80655,                0.60818,                0.92386,                0.97615,                 1.2861,                0.00637,                0.00637,                0.00637
                     57,                0.65396,                0.65923,                 1.1126,                0.85108,                0.71163,                0.79075,                0.58049,                0.91715,                 1.0162,                 1.3181,               0.006304,               0.006304,               0.006304
                     58,                0.63407,                0.61565,                 1.1094,                0.80505,                0.77674,                0.81065,                0.58437,                0.92452,                0.93355,                 1.3011,               0.006238,               0.006238,               0.006238
                     59,                0.62446,                0.61851,                 1.0805,                0.80729,                0.74039,                0.79439,                0.57186,                0.98681,                  1.009,                 1.3465,               0.006172,               0.006172,               0.006172
                     60,                0.61567,                0.59522,                 1.0862,                0.88409,                0.70954,                0.80624,                0.59694,                0.91552,                0.91013,                   1.29,               0.006106,               0.006106,               0.006106
                     61,                0.62978,                0.61262,                 1.0906,                0.84648,                 0.7437,                 0.8131,                 0.6003,                0.92176,                0.88129,                 1.3069,                0.00604,                0.00604,                0.00604
                     62,                0.61432,                0.60647,                  1.085,                0.81364,                0.76279,                0.79337,                0.59052,                0.91578,                0.91889,                 1.3285,               0.005974,               0.005974,               0.005974
                     63,                 0.6209,                0.62509,                  1.096,                0.79221,                0.71628,                0.75956,                0.57486,                0.93312,                 1.0065,                 1.3454,               0.005908,               0.005908,               0.005908
                     64,                0.59946,                0.59468,                 1.0844,                0.87174,                0.74884,                0.81833,                0.62454,                0.91346,                0.96264,                 1.3285,               0.005842,               0.005842,               0.005842
                     65,                0.61911,                0.59713,                 1.0752,                0.89843,                 0.6994,                0.80745,                0.60566,                0.91127,                0.97769,                 1.3384,               0.005776,               0.005776,               0.005776
                     66,                0.60737,                0.58164,                 1.0881,                0.87431,                0.71176,                0.79282,                0.59936,                0.90552,                0.97022,                 1.2739,                0.00571,                0.00571,                0.00571
                     67,                0.61421,                0.59978,                  1.083,                0.85215,                0.71628,                0.80184,                0.59955,                0.93046,                0.96623,                 1.3338,               0.005644,               0.005644,               0.005644
                     68,                0.60642,                 0.5908,                  1.082,                0.81745,                0.77674,                0.80739,                0.60849,                0.92261,                0.92146,                 1.3011,               0.005578,               0.005578,               0.005578
                     69,                0.57541,                0.57306,                 1.0684,                 0.8762,                0.74419,                0.81157,                0.62643,                0.86012,                0.91919,                 1.2625,               0.005512,               0.005512,               0.005512
                     70,                0.59714,                 0.5836,                 1.0852,                0.86648,                0.75814,                0.81281,                0.61901,                0.86858,                0.90487,                 1.2685,               0.005446,               0.005446,               0.005446
                     71,                0.59278,                0.57595,                  1.077,                0.83722,                0.74157,                0.79492,                0.59923,                0.90657,                0.93649,                 1.3197,                0.00538,                0.00538,                0.00538
                     72,                0.58408,                 0.5613,                 1.0704,                0.83859,                0.77329,                0.82781,                0.62182,                0.86811,                0.85372,                  1.273,               0.005314,               0.005314,               0.005314
                     73,                0.58783,                0.57124,                 1.0841,                 0.8528,                0.75452,                0.81985,                0.62294,                0.89385,                0.92297,                 1.2964,               0.005248,               0.005248,               0.005248
                     74,                0.58268,                0.55522,                 1.0789,                0.89026,                0.71628,                0.80176,                0.60158,                0.85712,                0.96947,                  1.245,               0.005182,               0.005182,               0.005182
                     75,                 0.5905,                0.55598,                 1.0825,                0.88604,                0.71628,                0.80282,                0.60451,                0.86996,                0.89127,                 1.2747,               0.005116,               0.005116,               0.005116
                     76,                0.57126,                 0.5534,                 1.0624,                0.88616,                0.70233,                0.79719,                0.60944,                0.84854,                0.87969,                 1.2574,                0.00505,                0.00505,                0.00505
                     77,                0.59269,                0.55577,                 1.0823,                0.84681,                0.71628,                0.80293,                0.61084,                0.89175,                0.87746,                 1.3009,               0.004984,               0.004984,               0.004984
                     78,                0.56813,                0.54236,                   1.06,                0.92348,                0.73023,                0.81244,                0.61365,                0.91231,                0.86721,                 1.3256,               0.004918,               0.004918,               0.004918
                     79,                0.56512,                0.54725,                 1.0652,                0.85334,                 0.7307,                0.80708,                0.60944,                0.88361,                0.87015,                 1.3111,               0.004852,               0.004852,               0.004852
                     80,                0.57337,                0.53771,                 1.0784,                0.92534,                0.68372,                0.80303,                0.59658,                0.94525,                0.94297,                 1.3803,               0.004786,               0.004786,               0.004786
                     81,                0.58375,                0.54613,                 1.0829,                0.85393,                0.70695,                0.78633,                0.57082,                0.99777,                 1.0295,                 1.4862,                0.00472,                0.00472,                0.00472
                     82,                0.53945,                 0.5296,                 1.0546,                0.81581,                0.72104,                0.79197,                0.57887,                0.94418,                0.98117,                 1.3713,               0.004654,               0.004654,               0.004654
